region,province,municipality,id_hh,id_ind,stratum,stratum_label,sex,cl_age,active,income_hh,unemployed,inactive,SR,nSR,weight
north,north_1,4,H4072,1480767,10000,north_1_4,1,(14,24],1,19343.3975597347,0,0,1,0,566.608695652174
north,north_1,4,H3585,1479557,10000,north_1_4,2,(54,64],1,22766.397808516,0,0,1,0,566.608695652174
north,north_1,4,H4163,1481002,10000,north_1_4,2,(74,112],0,18515.8912243042,0,1,1,0,566.608695652174
north,north_1,4,H2425,1476553,10000,north_1_4,2,(0,14],0,4194.40054148368,0,1,1,0,566.608695652174
north,north_1,4,H6816,1485909,10000,north_1_4,2,(34,44],1,30893.9898401304,0,0,1,0,566.608695652174
north,north_1,4,H2894,1477792,10000,north_1_4,1,(44,54],1,8003.42680925719,0,0,1,0,566.608695652174
north,north_1,4,H4352,1481437,10000,north_1_4,2,(34,44],1,31943.243838976,0,0,1,0,566.608695652174
north,north_1,4,H6763,1485844,10000,north_1_4,2,(24,34],1,30863.0686092072,0,0,1,0,566.608695652174
north,north_1,4,H2230,1476014,10000,north_1_4,1,(44,54],1,12534.7449355721,0,0,1,0,566.608695652174
north,north_1,4,H3771,1480037,10000,north_1_4,2,(64,74],1,10904.2714809755,0,0,1,0,566.608695652174
north,north_1,4,H6589,1485634,10000,north_1_4,2,(64,74],1,16957.6767162596,0,0,1,0,566.608695652174
north,north_1,4,H2171,1475856,10000,north_1_4,1,(34,44],1,36152.5772886844,0,0,1,0,566.608695652174
north,north_1,4,H3880,1480299,10000,north_1_4,2,(0,14],0,629.588919056794,0,1,1,0,566.608695652174
north,north_1,4,H3931,1480420,10000,north_1_4,1,(24,34],1,71408.2888339343,0,0,1,0,566.608695652174
north,north_1,4,H2933,1477894,10000,north_1_4,1,(34,44],1,14101.7584970298,0,0,1,0,566.608695652174
north,north_1,4,H3293,1478836,10000,north_1_4,1,(44,54],0,1520.75755761311,1,0,1,0,566.608695652174
north,north_1,4,H6211,1485112,10000,north_1_4,2,(74,112],0,11333.9400747538,0,1,1,0,566.608695652174
north,north_1,4,H1795,1474799,10000,north_1_4,2,(0,14],0,37724.1209761795,0,1,1,0,566.608695652174
north,north_1,4,H6325,1485265,10000,north_1_4,1,(24,34],1,27173.2445859104,0,0,1,0,566.608695652174
north,north_1,4,H1648,1474397,10000,north_1_4,1,(34,44],1,116603.535138201,0,0,1,0,566.608695652174
north,north_1,4,H1675,1474463,10000,north_1_4,2,(24,34],1,45406.3931514997,0,0,1,0,566.608695652174
north,north_1,4,H3088,1478309,10000,north_1_4,2,(34,44],1,25589.3668895878,0,0,1,0,566.608695652174
north,north_1,4,H1405,1473695,10000,north_1_4,1,(14,24],1,19270.6216116545,0,0,1,0,566.608695652174
north,north_1,8,H12500,2124347,9000,north_1_3,2,(24,34],1,9067.32113175581,0,0,1,0,290.103125
north,north_1,8,H12468,2124246,9000,north_1_3,1,(64,74],1,13028.7673947484,0,0,1,0,290.103125
north,north_1,8,H12496,2124339,9000,north_1_3,1,(54,64],1,37242.948425407,0,0,1,0,290.103125
north,north_1,8,H12253,2123623,9000,north_1_3,1,(44,54],1,36524.1397403327,0,0,1,0,290.103125
north,north_1,8,H12324,2123828,9000,north_1_3,1,(44,54],1,33353.1633756882,0,0,1,0,290.103125
north,north_1,8,H10217,2117530,9000,north_1_3,2,(64,74],1,22523.6482351932,0,0,1,0,290.103125
north,north_1,8,H10070,2117075,9000,north_1_3,1,(64,74],1,19993.3516892949,0,0,1,0,290.103125
north,north_1,8,H10133,2117274,9000,north_1_3,2,(64,74],1,30522.3295179907,0,0,1,0,290.103125
north,north_1,8,H17355,2138211,9000,north_1_3,2,(54,64],1,22291.6798106533,0,0,1,0,290.103125
north,north_1,8,H17502,2138580,9000,north_1_3,1,(0,14],0,2100.50081843931,0,1,1,0,290.103125
north,north_1,8,H17523,2138640,9000,north_1_3,1,(74,112],0,20198.7344892572,0,1,1,0,290.103125
north,north_1,8,H11924,2122668,9000,north_1_3,1,(24,34],1,83430.8883350404,0,0,1,0,290.103125
north,north_1,8,H11947,2122748,9000,north_1_3,1,(64,74],1,33170.975118466,0,0,1,0,290.103125
north,north_1,8,H11948,2122751,9000,north_1_3,1,(24,34],1,22209.0023277656,0,0,1,0,290.103125
north,north_1,8,H10998,2119956,9000,north_1_3,2,(24,34],1,26995.9190509526,0,0,1,0,290.103125
north,north_1,8,H11137,2120375,9000,north_1_3,1,(44,54],1,10284.2734194009,0,0,1,0,290.103125
north,north_1,8,H11137,2120378,9000,north_1_3,2,(44,54],1,10284.2734194009,0,0,1,0,290.103125
north,north_1,8,H11152,2120426,9000,north_1_3,2,(54,64],1,130370.824162996,0,0,1,0,290.103125
north,north_1,8,H11285,2120789,9000,north_1_3,2,(44,54],1,5470.13220366414,0,0,1,0,290.103125
north,north_1,8,H10533,2118546,9000,north_1_3,2,(14,24],1,18370.5465278853,0,0,1,0,290.103125
north,north_1,8,H10800,2119345,9000,north_1_3,2,(74,112],0,12812.9016237097,0,1,1,0,290.103125
north,north_1,8,H22901,2153080,9000,north_1_3,1,(64,74],1,42465.6904126655,0,0,1,0,290.103125
north,north_1,8,H23062,2153478,9000,north_1_3,2,(44,54],1,43482.1174227041,0,0,1,0,290.103125
north,north_1,8,H23221,2153896,9000,north_1_3,1,(14,24],1,23653.018238614,0,0,1,0,290.103125
north,north_1,8,H11641,2121848,9000,north_1_3,2,(64,74],1,12670.9799860868,0,0,1,0,290.103125
north,north_1,8,H11642,2121851,9000,north_1_3,1,(0,14],0,14364.7899884314,0,1,1,0,290.103125
north,north_1,8,H11779,2122255,9000,north_1_3,2,(44,54],1,15175.7223295568,0,0,1,0,290.103125
north,north_1,8,H22490,2152023,9000,north_1_3,1,(54,64],0,3046.04628138446,1,0,1,0,290.103125
north,north_1,8,H22579,2152255,9000,north_1_3,1,(14,24],1,32522.9385333949,0,0,1,0,290.103125
north,north_1,8,H13228,2126457,9000,north_1_3,2,(0,14],0,17360.9756407886,0,1,1,0,290.103125
north,north_1,8,H13240,2126492,9000,north_1_3,2,(14,24],1,21039.5317322945,0,0,1,0,290.103125
north,north_1,8,H13289,2126653,9000,north_1_3,2,(24,34],1,138240.125477367,0,0,1,0,290.103125
north,north_1,8,H13397,2126977,9000,north_1_3,2,(24,34],1,7125.67913508722,0,0,1,0,290.103125
north,north_1,8,H13612,2127622,9000,north_1_3,1,(14,24],1,29495.0632403615,0,0,1,0,290.103125
north,north_1,8,H13699,2127889,9000,north_1_3,2,(24,34],1,22899.8415679362,0,0,1,0,290.103125
north,north_1,8,H13755,2128064,9000,north_1_3,2,(74,112],0,22712.9040472913,0,1,1,0,290.103125
