Domain;SRdom;nSRdom;SRdom+nSRdom;SR_PSU_final_sample_unit;NSR_PSU_final_sample_unit
1000;0;1;1;0;50
2000;13;0;13;258194;0
3000;0;1;1;0;37
4000;0;1;1;0;2
5000;0;1;1;0;45
6000;0;1;1;0;10
7000;9;0;9;30193;0
8000;0;1;1;0;2
9000;1;0;1;167;0
10000;1;2;3;50;107
11000;8;21;29;335;1096
12000;0;16;16;0;803
13000;1;0;1;2;0
14000;0;1;1;0;40
15000;0;1;1;0;72
16000;122;0;122;108626;0
17000;1;0;1;59483;0
18000;6;0;6;71642;0
19000;37;0;37;145892;0
20000;55;0;55;62131;0
21000;1;0;1;51552;0
22000;0;1;1;0;10
23000;0;1;1;0;6
24000;0;1;1;0;2
Total;255;50;305;788267;2282
Mean; ; ; ;32844;95
